Name,Email Address,Username,Date of Birth,Gender,Location,Membership Start Date,Membership End Date,Subscription Plan,Payment Information,Renewal Status,Usage Frequency,Purchase History,Favorite Genres,Devices Used,Engagement Metrics,Feedback/Ratings,Customer Support Interactions
Dean Frazier,monicabentley@example.org,monicabentley,1974-08-22,Male,Los Angeles,2024-02-21,2025-02-20,Monthly,Amex,Auto-renew,Regular,Books,Romance,Smart TV,High,3.8,8
Amy Williams,isaac58@example.org,isaac58,1995-01-05,Male,Boston,2024-03-21,2025-03-21,Annual,Amex,Manual,Regular,Books,Action,Tablet,Medium,4.8,0
Alison Stephens,tonifernandez@example.org,tonifernandez,1933-11-30,Male,New York,2024-01-07,2025-01-06,Monthly,Mastercard,Manual,Occasional,Books,Sci-Fi,Tablet,Low,3.7,4
Scott Cook,briangreen@example.com,briangreen,1994-11-02,Female,Houston,2024-03-18,2025-03-18,Annual,Amex,Manual,Occasional,Electronics,Horror,Smart TV,Low,4.0,6
Mrs. Nicole Gallegos,seanvaldez@example.com,seanvaldez,1968-03-27,Male,Denver,2024-03-21,2025-03-21,Monthly,Mastercard,Auto-renew,Frequent,Books,Sci-Fi,Smartphone,High,4.3,7
Debra Moore,donna99@example.com,donna99,1945-01-30,Female,San Diego,2024-03-06,2025-03-06,Monthly,Amex,Auto-renew,Regular,Electronics,Romance,Smart TV,Medium,3.9,3
Kelly Cox,hodgelauren@example.org,hodgelauren,1991-07-06,Female,Denver,2024-01-24,2025-01-23,Annual,Mastercard,Manual,Occasional,Clothing,Romance,Smart TV,Low,4.2,0
Kaitlin Webb,htodd@example.org,htodd,1936-05-01,Male,Jacksonville,2024-03-11,2025-03-11,Annual,Mastercard,Manual,Occasional,Books,Horror,Tablet,High,4.9,1
Antonio Baldwin,molly29@example.com,molly29,1954-03-31,Male,New York,2024-03-15,2025-03-15,Annual,Visa,Auto-renew,Regular,Clothing,Sci-Fi,Smart TV,Medium,4.2,2
Heather Wright,marissa28@example.com,marissa28,1969-03-21,Female,Dallas,2024-04-07,2025-04-07,Annual,Visa,Manual,Frequent,Books,Comedy,Smart TV,Medium,4.8,10
Matthew Zavala,linryan@example.org,linryan,1996-03-04,Male,Seattle,2024-03-28,2025-03-28,Monthly,Mastercard,Auto-renew,Occasional,Books,Drama,Tablet,Medium,4.5,8
Robert Wong,eric57@example.com,eric57,1993-09-04,Female,New York,2024-01-21,2025-01-20,Annual,Mastercard,Manual,Occasional,Clothing,Action,Smartphone,Medium,3.1,3
Ryan Peterson,bradleyanderson@example.com,bradleyanderson,1966-05-25,Male,Indianapolis,2024-01-16,2025-01-15,Monthly,Visa,Auto-renew,Occasional,Clothing,Sci-Fi,Smart TV,Low,4.5,10
David Alvarez,erin34@example.org,erin34,1992-09-18,Female,Chicago,2024-02-17,2025-02-16,Annual,Visa,Auto-renew,Occasional,Books,Horror,Tablet,Low,4.2,3
Mrs. Penny Frost,belladam@example.net,belladam,1940-02-07,Female,Philadelphia,2024-01-04,2025-01-03,Monthly,Mastercard,Manual,Regular,Clothing,Sci-Fi,Smart TV,High,3.7,5
Dawn Simon,michaellewis@example.net,michaellewis,1973-05-23,Female,Los Angeles,2024-02-04,2025-02-03,Monthly,Mastercard,Manual,Frequent,Books,Drama,Smart TV,Low,4.1,5
Paul Bolton,wallrandy@example.net,wallrandy,2004-03-08,Female,Nashville,2024-03-31,2025-03-31,Annual,Visa,Manual,Regular,Books,Horror,Tablet,Medium,4.3,5
Denise Oneill,shannonmorton@example.org,shannonmorton,1964-02-29,Male,Los Angeles,2024-01-31,2025-01-30,Annual,Visa,Auto-renew,Regular,Electronics,Drama,Smartphone,High,4.3,2
Tracey Scott,tateamanda@example.org,tateamanda,1938-05-31,Female,Chicago,2024-03-09,2025-03-09,Monthly,Amex,Auto-renew,Frequent,Electronics,Romance,Smartphone,High,3.4,10
Heather Moreno,dominiqueaguilar@example.net,dominiqueaguilar,1933-08-24,Female,New York,2024-02-06,2025-02-05,Monthly,Amex,Auto-renew,Frequent,Electronics,Horror,Tablet,High,4.8,10
Pamela Briggs,tonyjenkins@example.com,tonyjenkins,1946-05-08,Male,New York,2024-02-14,2025-02-13,Monthly,Amex,Manual,Regular,Clothing,Action,Smart TV,Medium,5.0,1
Douglas Sharp,jlee@example.com,jlee,1969-09-07,Female,Houston,2024-02-02,2025-02-01,Annual,Visa,Manual,Frequent,Books,Horror,Smartphone,Medium,3.8,6
Derrick Burton,sharongray@example.net,sharongray,1957-09-26,Male,El Paso,2024-02-03,2025-02-02,Annual,Amex,Auto-renew,Frequent,Clothing,Action,Tablet,Low,3.1,8
Mary Reid,nancypena@example.net,nancypena,1946-01-08,Female,Los Angeles,2024-02-17,2025-02-16,Monthly,Amex,Manual,Occasional,Books,Horror,Smart TV,Medium,4.1,1
Nicole West,ryanadkins@example.com,ryanadkins,1993-08-23,Male,San Diego,2024-03-01,2025-03-01,Monthly,Mastercard,Manual,Regular,Clothing,Drama,Smart TV,Low,4.6,5
Roy Stone,joseph98@example.org,joseph98,1952-06-16,Male,Los Angeles,2024-01-03,2025-01-02,Monthly,Visa,Auto-renew,Occasional,Books,Horror,Tablet,Low,4.4,8
James Warner,wendy53@example.com,wendy53,1963-02-19,Female,Columbus,2024-03-21,2025-03-21,Monthly,Visa,Manual,Frequent,Clothing,Documentary,Smartphone,Low,3.0,2
Larry Gay,walkerjessica@example.com,walkerjessica,2002-11-14,Female,San Antonio,2024-02-08,2025-02-07,Monthly,Mastercard,Auto-renew,Frequent,Electronics,Romance,Smartphone,High,3.6,2
Brent Bailey,kerri46@example.net,kerri46,2002-02-17,Male,Los Angeles,2024-03-17,2025-03-17,Monthly,Amex,Manual,Occasional,Books,Comedy,Smart TV,Medium,4.6,5
Oscar Wright,rhodesdan@example.org,rhodesdan,1983-07-17,Female,Los Angeles,2024-01-14,2025-01-13,Monthly,Mastercard,Manual,Regular,Electronics,Drama,Tablet,High,4.4,4
Ms. Linda Walter DDS,james70@example.com,james70,1957-11-12,Female,Los Angeles,2024-03-26,2025-03-26,Monthly,Visa,Manual,Regular,Books,Drama,Smart TV,Medium,3.5,9
Bill Marquez,debra16@example.com,debra16,1962-08-03,Female,Los Angeles,2024-02-08,2025-02-07,Monthly,Amex,Manual,Regular,Clothing,Documentary,Smartphone,High,4.8,4
Peter Francis,lbradford@example.net,lbradford,1937-06-28,Female,Seattle,2024-01-27,2025-01-26,Annual,Amex,Manual,Frequent,Electronics,Horror,Smart TV,High,4.9,8
Dylan Woods,ramosbrittany@example.org,ramosbrittany,1959-01-14,Female,Charlotte,2024-03-19,2025-03-19,Annual,Amex,Auto-renew,Frequent,Books,Drama,Tablet,High,4.4,2
Kathleen Bauer,pricejulia@example.com,pricejulia,1998-09-14,Male,Phoenix,2024-01-05,2025-01-04,Monthly,Mastercard,Auto-renew,Regular,Electronics,Horror,Smart TV,High,4.9,4
Robert Roberson,tylerhammond@example.net,tylerhammond,1961-10-18,Female,Dallas,2024-02-15,2025-02-14,Annual,Visa,Manual,Occasional,Electronics,Horror,Smart TV,Low,3.4,4
Faith Griffin,laceydavis@example.net,laceydavis,1991-04-18,Male,New York,2024-03-10,2025-03-10,Annual,Mastercard,Manual,Occasional,Books,Drama,Smartphone,Medium,4.9,10
Daniel Lopez,anthonyarmstrong@example.net,anthonyarmstrong,1988-01-24,Male,Chicago,2024-03-14,2025-03-14,Monthly,Visa,Auto-renew,Frequent,Clothing,Sci-Fi,Smartphone,Low,4.1,6
Sylvia Butler,mitchellheidi@example.net,mitchellheidi,1988-09-24,Female,Phoenix,2024-02-06,2025-02-05,Monthly,Visa,Manual,Regular,Clothing,Horror,Smartphone,Low,4.3,3
Kevin Dominguez,mileseric@example.com,mileseric,1994-07-28,Female,San Jose,2024-01-22,2025-01-21,Monthly,Mastercard,Auto-renew,Occasional,Books,Action,Smart TV,Medium,4.4,0
Jonathan Lucero,ubrown@example.org,ubrown,1954-07-17,Male,Charlotte,2024-01-19,2025-01-18,Annual,Amex,Auto-renew,Occasional,Clothing,Comedy,Smartphone,High,4.2,8
Lori Howe,smoran@example.org,smoran,1952-05-15,Male,San Diego,2024-01-16,2025-01-15,Annual,Visa,Manual,Regular,Books,Action,Tablet,High,4.6,3
James Ryan,davisjeffery@example.com,davisjeffery,1985-11-15,Male,New York,2024-01-24,2025-01-23,Monthly,Amex,Auto-renew,Frequent,Clothing,Drama,Tablet,Low,3.5,4
Catherine Fry,hcook@example.com,hcook,1934-01-15,Male,Chicago,2024-02-16,2025-02-15,Monthly,Mastercard,Manual,Frequent,Clothing,Horror,Smart TV,Low,4.8,3
Mark Griffin,adrian56@example.net,adrian56,2000-05-12,Male,Houston,2024-03-31,2025-03-31,Annual,Amex,Auto-renew,Regular,Clothing,Action,Smart TV,Low,3.7,4
Maria Johnson,victoria08@example.org,victoria08,1980-12-18,Female,San Diego,2024-02-26,2025-02-25,Monthly,Mastercard,Manual,Frequent,Clothing,Drama,Smart TV,High,3.3,7
Bradley Holmes,cwashington@example.net,cwashington,1953-03-30,Male,New York,2024-04-01,2025-04-01,Annual,Visa,Manual,Frequent,Books,Action,Tablet,Low,3.0,2
Alexandra Horton,daleruiz@example.com,daleruiz,1961-08-26,Male,Houston,2024-03-01,2025-03-01,Annual,Amex,Manual,Frequent,Electronics,Documentary,Smart TV,Medium,3.9,0
Jose Boyd,amanda22@example.com,amanda22,1936-10-21,Male,Houston,2024-01-03,2025-01-02,Annual,Amex,Manual,Frequent,Books,Documentary,Tablet,High,4.9,4
Brianna Fletcher,robertwinters@example.org,robertwinters,1976-09-13,Male,San Diego,2024-01-20,2025-01-19,Annual,Amex,Auto-renew,Occasional,Books,Sci-Fi,Smart TV,Low,4.6,0
Jose Jensen,jacob63@example.org,jacob63,1983-06-16,Female,Jacksonville,2024-03-26,2025-03-26,Monthly,Visa,Auto-renew,Regular,Books,Documentary,Tablet,Low,3.9,0
Stephanie White,nicolepugh@example.com,nicolepugh,1978-01-12,Female,Houston,2024-02-26,2025-02-25,Annual,Amex,Auto-renew,Frequent,Electronics,Romance,Tablet,Low,4.2,1
Richard Villanueva DDS,austinrandy@example.com,austinrandy,1968-06-22,Female,Los Angeles,2024-03-20,2025-03-20,Annual,Amex,Auto-renew,Occasional,Electronics,Drama,Smart TV,High,4.5,10
Anna Monroe,dcraig@example.com,dcraig,1958-08-06,Male,New York,2024-01-06,2025-01-05,Annual,Mastercard,Manual,Frequent,Books,Sci-Fi,Smartphone,Medium,4.9,5
Mary Phillips,joseph59@example.org,joseph59,1938-09-16,Female,Seattle,2024-02-12,2025-02-11,Annual,Amex,Manual,Occasional,Electronics,Comedy,Smartphone,High,3.7,0
Matthew Roman,suarezamanda@example.org,suarezamanda,2000-02-27,Female,San Antonio,2024-01-26,2025-01-25,Monthly,Mastercard,Auto-renew,Frequent,Clothing,Horror,Smartphone,High,3.9,10
Andrew Santos,vanessacarlson@example.com,vanessacarlson,1960-07-14,Female,Denver,2024-01-05,2025-01-04,Annual,Mastercard,Manual,Occasional,Books,Comedy,Tablet,High,4.3,3
Hannah Murphy,kyleriley@example.org,kyleriley,1983-04-20,Female,New York,2024-03-03,2025-03-03,Monthly,Amex,Manual,Frequent,Clothing,Documentary,Smartphone,Low,3.5,1
Paul Graham,amyalexander@example.net,amyalexander,1977-12-17,Male,San Antonio,2024-04-01,2025-04-01,Monthly,Amex,Manual,Regular,Books,Documentary,Smart TV,Medium,3.6,2
Laurie Hansen,mortonlori@example.com,mortonlori,1972-09-22,Male,Denver,2024-01-21,2025-01-20,Annual,Amex,Auto-renew,Regular,Books,Documentary,Tablet,Low,3.9,6
Eric Benitez,elliottbrendan@example.net,elliottbrendan,1952-12-05,Male,Houston,2024-01-22,2025-01-21,Annual,Mastercard,Manual,Regular,Books,Romance,Smart TV,Medium,3.4,6
Daniel Smith,smalldaniel@example.org,smalldaniel,1969-02-14,Male,Dallas,2024-03-28,2025-03-28,Annual,Amex,Manual,Occasional,Books,Sci-Fi,Tablet,Medium,3.6,3
Michael Johnson,lrogers@example.org,lrogers,1996-07-03,Male,New York,2024-02-17,2025-02-16,Monthly,Mastercard,Auto-renew,Occasional,Electronics,Documentary,Smartphone,Medium,4.6,5
Tracy Sanders,gabrielle62@example.com,gabrielle62,1990-02-06,Female,New York,2024-02-14,2025-02-13,Monthly,Amex,Auto-renew,Occasional,Electronics,Action,Tablet,Low,3.2,0
Kendra Mitchell,brenda80@example.com,brenda80,1934-09-02,Female,New York,2024-02-06,2025-02-05,Monthly,Mastercard,Auto-renew,Frequent,Electronics,Horror,Smartphone,High,3.9,8
Alexander Mckinney,brittanyjackson@example.org,brittanyjackson,1945-02-23,Female,Los Angeles,2024-02-09,2025-02-08,Monthly,Mastercard,Manual,Occasional,Books,Comedy,Smartphone,High,3.9,0
Lisa Stark,ahammond@example.net,ahammond,1937-11-01,Male,San Francisco,2024-03-29,2025-03-29,Monthly,Amex,Auto-renew,Occasional,Electronics,Romance,Smart TV,Medium,4.0,0
Alexandria Gonzales,rjohnson@example.net,rjohnson,1943-06-03,Male,Phoenix,2024-03-13,2025-03-13,Monthly,Mastercard,Manual,Regular,Clothing,Comedy,Smartphone,High,3.0,3
Jessica Travis,silvarobert@example.net,silvarobert,1968-03-27,Female,Los Angeles,2024-01-18,2025-01-17,Annual,Visa,Manual,Occasional,Clothing,Horror,Smartphone,High,3.7,8
Robert Kelly,ramosamanda@example.org,ramosamanda,1947-12-27,Male,San Jose,2024-03-02,2025-03-02,Annual,Visa,Auto-renew,Occasional,Books,Comedy,Tablet,Medium,5.0,5
Susan Johnson,qprice@example.com,qprice,1986-07-25,Male,Los Angeles,2024-03-25,2025-03-25,Annual,Visa,Auto-renew,Regular,Clothing,Comedy,Smartphone,Medium,3.3,7
Andrew Hill,jasminelopez@example.org,jasminelopez,1955-11-26,Male,New York,2024-01-22,2025-01-21,Monthly,Visa,Auto-renew,Frequent,Clothing,Romance,Smartphone,High,4.8,7
Kathryn Carpenter,davidwise@example.net,davidwise,1987-12-11,Female,San Jose,2024-01-28,2025-01-27,Monthly,Visa,Manual,Occasional,Electronics,Documentary,Smart TV,High,4.4,8
Kimberly Lopez,patrickconrad@example.com,patrickconrad,1974-08-16,Male,Chicago,2024-02-26,2025-02-25,Monthly,Visa,Manual,Occasional,Electronics,Documentary,Smartphone,High,4.5,9
Mr. David Silva,veronica52@example.org,veronica52,1961-06-22,Female,Los Angeles,2024-04-12,2025-04-12,Annual,Mastercard,Manual,Frequent,Electronics,Horror,Smart TV,High,4.4,3
Christopher Pitts,danny75@example.com,danny75,1980-01-08,Female,Houston,2024-04-11,2025-04-11,Annual,Mastercard,Auto-renew,Occasional,Electronics,Romance,Tablet,Medium,3.9,2
Felicia Ortega,oliviabrown@example.com,oliviabrown,1972-06-21,Female,New York,2024-01-28,2025-01-27,Annual,Mastercard,Auto-renew,Occasional,Electronics,Horror,Smart TV,Low,5.0,5
Logan Benson,peter03@example.org,peter03,1972-09-03,Female,San Diego,2024-01-24,2025-01-23,Annual,Mastercard,Manual,Occasional,Clothing,Action,Smart TV,High,3.5,0
Cheryl Lam,gcastro@example.com,gcastro,1951-12-28,Female,San Diego,2024-03-25,2025-03-25,Annual,Amex,Auto-renew,Occasional,Electronics,Romance,Smart TV,Medium,4.1,6
Donald Crawford,nsanchez@example.org,nsanchez,1952-05-17,Female,Los Angeles,2024-01-19,2025-01-18,Monthly,Amex,Auto-renew,Occasional,Clothing,Sci-Fi,Smartphone,Low,4.4,10
Latoya Barrett,natashavargas@example.org,natashavargas,1979-01-26,Male,Los Angeles,2024-02-24,2025-02-23,Annual,Amex,Auto-renew,Frequent,Electronics,Horror,Smartphone,Low,4.0,4
Laura Howard,willie28@example.com,willie28,1975-02-24,Female,Boston,2024-02-16,2025-02-15,Annual,Amex,Manual,Frequent,Clothing,Romance,Tablet,High,3.9,10
Matthew Miller,chadtran@example.com,chadtran,1977-07-10,Female,Jacksonville,2024-04-04,2025-04-04,Annual,Visa,Auto-renew,Frequent,Electronics,Horror,Smart TV,High,4.3,8
Mark Copeland,tramos@example.org,tramos,1969-07-10,Female,Chicago,2024-01-31,2025-01-30,Annual,Amex,Auto-renew,Regular,Clothing,Comedy,Tablet,Low,3.8,5
Donna Phillips,sanderson@example.org,sanderson,1989-05-24,Female,Los Angeles,2024-03-30,2025-03-30,Monthly,Mastercard,Auto-renew,Regular,Books,Romance,Tablet,High,3.8,7
Nancy Brown,archerjoshua@example.com,archerjoshua,1948-04-06,Male,New York,2024-01-02,2025-01-01,Annual,Amex,Auto-renew,Frequent,Clothing,Action,Smart TV,Medium,3.8,9
Deborah Owens,smithdouglas@example.net,smithdouglas,1971-12-24,Male,San Diego,2024-01-01,2024-12-31,Annual,Amex,Auto-renew,Frequent,Books,Sci-Fi,Smart TV,Low,3.2,3
Julian Smith,heidi88@example.net,heidi88,1986-04-15,Male,San Diego,2024-02-16,2025-02-15,Annual,Mastercard,Manual,Occasional,Books,Comedy,Tablet,High,3.8,6
Manuel Ortiz,rioskimberly@example.net,rioskimberly,1944-06-30,Male,New York,2024-02-22,2025-02-21,Monthly,Mastercard,Manual,Regular,Electronics,Action,Tablet,Medium,3.1,9
Shawn Ray,xcraig@example.net,xcraig,2002-09-25,Male,San Antonio,2024-01-14,2025-01-13,Annual,Mastercard,Manual,Regular,Electronics,Comedy,Tablet,High,3.8,6
Vicki Bray,jasminematthews@example.net,jasminematthews,1979-02-28,Male,San Antonio,2024-01-03,2025-01-02,Monthly,Visa,Auto-renew,Frequent,Electronics,Comedy,Tablet,High,3.1,4
Jacob Hudson,lewischristine@example.org,lewischristine,1971-06-17,Female,Los Angeles,2024-02-22,2025-02-21,Annual,Amex,Manual,Frequent,Electronics,Drama,Smartphone,Low,3.4,9
Melissa Brown,mariaking@example.com,mariaking,1962-10-28,Male,Austin,2024-01-07,2025-01-06,Monthly,Visa,Auto-renew,Regular,Electronics,Horror,Tablet,High,4.4,1
Nathan Martinez,jameshernandez@example.com,jameshernandez,2005-06-14,Male,Detroit,2024-03-03,2025-03-03,Annual,Visa,Auto-renew,Occasional,Books,Sci-Fi,Smartphone,Low,4.8,4
Nathan Perry,abutler@example.net,abutler,1979-12-17,Female,Oklahoma City,2024-03-23,2025-03-23,Monthly,Mastercard,Auto-renew,Regular,Electronics,Horror,Smart TV,High,3.6,9
Amanda Herrera,lynnrichardson@example.org,lynnrichardson,1935-02-18,Male,San Antonio,2024-04-12,2025-04-12,Annual,Mastercard,Auto-renew,Frequent,Electronics,Action,Smartphone,Low,4.7,3
Joseph Booth,amandaatkins@example.org,amandaatkins,1951-02-13,Male,Chicago,2024-02-19,2025-02-18,Annual,Mastercard,Manual,Regular,Clothing,Action,Smartphone,Low,3.9,5
John Davis,esmith@example.com,esmith,1967-04-12,Female,Los Angeles,2024-04-07,2025-04-07,Annual,Mastercard,Auto-renew,Regular,Electronics,Drama,Smartphone,Medium,3.4,0
Kristine Anderson,usmith@example.com,usmith,1942-05-23,Male,Detroit,2024-02-14,2025-02-13,Annual,Mastercard,Auto-renew,Frequent,Clothing,Comedy,Smartphone,High,3.1,10
Joseph Webster,danielsims@example.org,danielsims,1947-02-07,Male,Fort Worth,2024-03-22,2025-03-22,Annual,Visa,Manual,Occasional,Electronics,Horror,Smart TV,Medium,3.6,9
Eric Whitney,sgreen@example.com,sgreen,1973-07-14,Male,San Diego,2024-01-04,2025-01-03,Annual,Amex,Auto-renew,Frequent,Electronics,Action,Smart TV,Medium,4.8,7
Paul Fernandez,patkinson@example.org,patkinson,1989-07-13,Male,San Jose,2024-03-10,2025-03-10,Annual,Amex,Manual,Frequent,Clothing,Horror,Smart TV,High,4.2,5
Cristina Mcmillan,sharon91@example.org,sharon91,1992-05-16,Male,New York,2024-02-15,2025-02-14,Annual,Amex,Manual,Occasional,Clothing,Sci-Fi,Smartphone,High,3.8,6
Ashley Thomas,nguyenpaula@example.org,nguyenpaula,1964-11-23,Male,Los Angeles,2024-02-22,2025-02-21,Monthly,Visa,Manual,Frequent,Books,Sci-Fi,Smartphone,High,4.9,2
Laura James,bryanjones@example.com,bryanjones,1991-02-15,Male,Detroit,2024-03-03,2025-03-03,Annual,Mastercard,Manual,Regular,Electronics,Action,Smartphone,High,3.8,1
Sonia Hensley,dgarcia@example.net,dgarcia,1947-09-29,Female,Dallas,2024-02-25,2025-02-24,Monthly,Mastercard,Manual,Regular,Books,Documentary,Smartphone,Low,4.8,5
Curtis Ray,thomas53@example.net,thomas53,1965-04-29,Female,Dallas,2024-03-31,2025-03-31,Monthly,Amex,Manual,Regular,Books,Drama,Smartphone,Low,4.5,0
Hannah Bolton,njohnson@example.org,njohnson,1935-09-14,Female,Philadelphia,2024-01-01,2024-12-31,Annual,Visa,Auto-renew,Occasional,Books,Sci-Fi,Tablet,High,3.8,3
Curtis Anderson,goldenrachel@example.net,goldenrachel,1947-02-11,Female,Los Angeles,2024-01-07,2025-01-06,Monthly,Amex,Manual,Regular,Books,Romance,Smartphone,Medium,4.8,4
Luis Wells,shanesmith@example.org,shanesmith,1935-02-10,Female,San Jose,2024-02-28,2025-02-27,Monthly,Amex,Manual,Occasional,Books,Sci-Fi,Smartphone,Medium,4.0,8
Carmen Allen,tfloyd@example.org,tfloyd,2003-12-30,Male,Austin,2024-01-28,2025-01-27,Annual,Visa,Manual,Occasional,Electronics,Documentary,Smartphone,Low,3.8,9
Sherry Anderson,jameswagner@example.net,jameswagner,1973-10-27,Female,Nashville,2024-03-23,2025-03-23,Annual,Visa,Manual,Regular,Books,Comedy,Tablet,Low,4.0,6
Matthew Mcclure,jknight@example.net,jknight,2000-11-07,Male,Seattle,2024-03-16,2025-03-16,Annual,Amex,Auto-renew,Regular,Books,Drama,Smart TV,Low,4.1,5
James Fry,robertkim@example.org,robertkim,1994-05-02,Male,Columbus,2024-04-14,2025-04-14,Annual,Visa,Manual,Regular,Clothing,Romance,Smartphone,Low,4.6,0
Jerry Johnson,anthonymeza@example.org,anthonymeza,1951-06-13,Male,Nashville,2024-03-18,2025-03-18,Annual,Mastercard,Manual,Frequent,Books,Drama,Tablet,High,4.8,10
Felicia Taylor,cmcdonald@example.net,cmcdonald,1956-06-15,Female,Phoenix,2024-03-21,2025-03-21,Annual,Visa,Manual,Occasional,Books,Comedy,Smartphone,High,3.8,9
Michael Flowers,brandon64@example.com,brandon64,1976-01-28,Male,Chicago,2024-01-31,2025-01-30,Annual,Amex,Auto-renew,Frequent,Books,Drama,Tablet,Medium,3.5,10
Patrick Robinson,bakercandace@example.com,bakercandace,1976-12-14,Male,Austin,2024-02-16,2025-02-15,Annual,Amex,Auto-renew,Frequent,Clothing,Romance,Tablet,High,4.1,2
Cynthia Walker,wilsonnicole@example.net,wilsonnicole,1936-11-05,Female,Philadelphia,2024-03-21,2025-03-21,Annual,Visa,Auto-renew,Regular,Electronics,Sci-Fi,Tablet,High,3.9,4
Katherine Ramirez,bhicks@example.net,bhicks,1952-05-14,Female,San Diego,2024-01-12,2025-01-11,Annual,Visa,Auto-renew,Regular,Electronics,Sci-Fi,Smartphone,Medium,3.3,6
Amber Baker,kelly66@example.net,kelly66,1965-08-22,Female,Phoenix,2024-03-01,2025-03-01,Annual,Visa,Auto-renew,Regular,Electronics,Documentary,Smartphone,Medium,3.1,6
Hannah Rivera,victoriacook@example.net,victoriacook,1934-10-09,Male,Indianapolis,2024-02-14,2025-02-13,Annual,Amex,Manual,Regular,Clothing,Comedy,Smart TV,Low,4.4,10
John Porter,mallorytrujillo@example.com,mallorytrujillo,1985-02-11,Female,San Jose,2024-01-16,2025-01-15,Monthly,Mastercard,Auto-renew,Frequent,Electronics,Action,Tablet,Medium,4.2,8
Roy Yu,kellystuart@example.net,kellystuart,1951-12-21,Male,Fort Worth,2024-01-29,2025-01-28,Monthly,Amex,Auto-renew,Regular,Books,Comedy,Smartphone,High,3.8,4
Virginia Mathis,sarahprince@example.com,sarahprince,1999-07-09,Male,Boston,2024-03-18,2025-03-18,Annual,Visa,Auto-renew,Regular,Books,Action,Tablet,Medium,3.5,8
Ricky Dougherty,mathisrichard@example.org,mathisrichard,1952-12-25,Male,Houston,2024-01-25,2025-01-24,Monthly,Amex,Auto-renew,Frequent,Books,Documentary,Smartphone,Low,4.8,10
Andrea Kennedy,amybarron@example.net,amybarron,1974-09-04,Male,San Diego,2024-02-23,2025-02-22,Monthly,Amex,Auto-renew,Frequent,Books,Documentary,Smartphone,Low,3.8,7
Heather Wood,adamsstephanie@example.com,adamsstephanie,1951-04-30,Male,Houston,2024-01-16,2025-01-15,Monthly,Visa,Auto-renew,Regular,Electronics,Comedy,Smart TV,Medium,4.8,0
Zachary Simon,mlogan@example.org,mlogan,1979-05-26,Male,San Jose,2024-02-03,2025-02-02,Annual,Amex,Auto-renew,Regular,Books,Documentary,Tablet,High,4.0,4
Rachel Wolf,salinasrobert@example.org,salinasrobert,1997-03-31,Female,Nashville,2024-01-30,2025-01-29,Annual,Mastercard,Manual,Frequent,Clothing,Horror,Smartphone,Low,4.8,0
Donald Wilson,reynoldsallison@example.com,reynoldsallison,2002-02-02,Male,Washington,2024-01-15,2025-01-14,Annual,Visa,Auto-renew,Occasional,Books,Romance,Smartphone,Medium,4.9,1
Anthony Parsons,daniel11@example.com,daniel11,1990-01-01,Male,Jacksonville,2024-03-27,2025-03-27,Annual,Amex,Auto-renew,Regular,Books,Sci-Fi,Smart TV,Low,3.5,2
Evan Gillespie,mcneildiane@example.net,mcneildiane,1968-04-10,Male,Seattle,2024-02-28,2025-02-27,Annual,Amex,Auto-renew,Frequent,Books,Documentary,Tablet,Medium,3.9,7
Taylor Goodwin,ypace@example.com,ypace,1972-05-04,Male,New York,2024-03-06,2025-03-06,Monthly,Mastercard,Manual,Occasional,Electronics,Horror,Smartphone,Medium,3.1,5
Sarah Hart,williamsemily@example.org,williamsemily,1978-02-12,Male,Philadelphia,2024-01-02,2025-01-01,Annual,Amex,Manual,Occasional,Books,Horror,Smartphone,Low,3.2,4
Paul Chan,kathleen19@example.org,kathleen19,2001-11-20,Female,Seattle,2024-03-26,2025-03-26,Annual,Mastercard,Auto-renew,Regular,Clothing,Romance,Smart TV,Medium,3.9,9
Laurie Freeman,peggy16@example.org,peggy16,1955-12-30,Female,Boston,2024-01-22,2025-01-21,Annual,Visa,Auto-renew,Frequent,Electronics,Horror,Tablet,Low,4.3,10
Richard Adams,dtaylor@example.org,dtaylor,1968-07-31,Female,Los Angeles,2024-01-08,2025-01-07,Monthly,Amex,Auto-renew,Regular,Books,Drama,Smartphone,High,3.9,4
Ana Taylor,jody55@example.net,jody55,1995-08-15,Female,San Jose,2024-02-23,2025-02-22,Monthly,Visa,Manual,Regular,Books,Romance,Smartphone,High,4.5,5
Jeffrey Greer,yparsons@example.net,yparsons,2002-03-11,Male,Philadelphia,2024-01-22,2025-01-21,Monthly,Visa,Auto-renew,Regular,Electronics,Sci-Fi,Smart TV,Low,3.8,10
Nicole Edwards,alfredrhodes@example.com,alfredrhodes,1935-06-03,Female,New York,2024-02-27,2025-02-26,Monthly,Mastercard,Auto-renew,Regular,Clothing,Drama,Tablet,High,3.5,1
Melissa Bowman,noah52@example.com,noah52,1963-11-28,Male,Los Angeles,2024-01-02,2025-01-01,Annual,Amex,Auto-renew,Regular,Electronics,Horror,Tablet,Low,3.1,7
Steve Hurst,rgonzales@example.com,rgonzales,1994-04-27,Male,Chicago,2024-02-08,2025-02-07,Annual,Mastercard,Auto-renew,Regular,Books,Comedy,Smartphone,Medium,3.6,8
Roger Webb,zflores@example.com,zflores,1991-10-12,Female,New York,2024-03-29,2025-03-29,Annual,Visa,Auto-renew,Occasional,Clothing,Drama,Smartphone,High,3.3,8
